source,model,d,ability_scale,difficulty_scale,power
swebench-verified,compensatory-mirt,2,1.0,1.0,0.0
swebench-verified,compensatory-mirt,2,1.0,1.5,0.0
swebench-verified,compensatory-mirt,2,1.0,2.0,0.0
swebench-verified,compensatory-mirt,2,1.5,0.5,0.0
swebench-verified,compensatory-mirt,2,1.5,1.0,0.0
swebench-verified,compensatory-mirt,2,1.5,1.5,0.0
swebench-verified,compensatory-mirt,2,1.5,2.0,0.0
swebench-verified,compensatory-mirt,2,2.0,0.5,0.0
swebench-verified,compensatory-mirt,2,2.0,1.0,0.0
swebench-verified,compensatory-mirt,2,2.0,1.5,0.0
swebench-verified,compensatory-mirt,2,2.0,2.0,0.0
swebench-verified,compensatory-mirt,3,0.5,0.5,0.0
swebench-verified,compensatory-mirt,3,0.5,1.0,0.0
swebench-verified,compensatory-mirt,3,0.5,1.5,0.0
swebench-verified,compensatory-mirt,3,0.5,2.0,0.0
swebench-verified,compensatory-mirt,3,1.0,0.5,0.0
swebench-verified,compensatory-mirt,3,1.0,1.0,0.0
swebench-verified,compensatory-mirt,3,1.0,1.5,0.0
swebench-verified,compensatory-mirt,3,1.0,2.0,0.0
swebench-verified,compensatory-mirt,3,1.5,0.5,0.0
swebench-verified,compensatory-mirt,3,1.5,1.0,0.0
swebench-verified,compensatory-mirt,3,1.5,1.5,0.0
swebench-verified,compensatory-mirt,3,1.5,2.0,0.0
swebench-verified,compensatory-mirt,3,2.0,0.5,0.0
swebench-verified,compensatory-mirt,3,2.0,1.0,0.0
swebench-verified,compensatory-mirt,3,2.0,1.5,0.0
swebench-verified,compensatory-mirt,3,2.0,2.0,0.0
swebench-verified,compensatory-mirt,5,0.5,0.5,0.0
swebench-verified,compensatory-mirt,5,0.5,1.0,0.0
swebench-verified,compensatory-mirt,5,0.5,1.5,0.0
swebench-verified,compensatory-mirt,5,0.5,2.0,0.0
swebench-verified,compensatory-mirt,5,1.0,0.5,0.0
swebench-verified,compensatory-mirt,5,1.0,1.0,0.0
swebench-verified,compensatory-mirt,5,1.0,1.5,0.0
swebench-verified,compensatory-mirt,5,1.0,2.0,0.0
swebench-verified,compensatory-mirt,5,1.5,0.5,0.0
swebench-verified,compensatory-mirt,5,1.5,1.0,0.0
swebench-verified,compensatory-mirt,5,1.5,1.5,0.0
swebench-verified,compensatory-mirt,5,1.5,2.0,0.0
